ID,Title,Year,Venue,Platform_Type,Application_Domain,Agent_Role,Evaluation_Method,Challenges
68,Intelligent Cockpit for Intelligent Vehicle in Metaverse: A Case Study of Empathetic Auditory Regulation of Human Emotion,2023,"IEEE Transactions on Systems, Man, and Cybernetics: Systems",Simulation Platform,Digital Twin and Metaverse,Terminals and Devices,Quantitative Analysis,Computing and Resource Management
69,Intrusion Detection Algorithm in Smart Environments Featuring Activity Footprints Approach,2020,2020 IEEE 3rd International Conference on Artificial Intelligence and Knowledge Engineering (AIKE),Simulation Platform,Communication Network and IoT,Terminals and Devices,Quantitative Analysis,Computing and Resource Management
70,Joint Quantum Reinforcement Learning and Stabilized Control for Spatio-Temporal Coordination in Metaverse,2024,IEEE Transactions On Mobile Computing,Simulation,Artificial Intelligence,Digital Twin,Comparative Analysis,Resource Management
71,Just Undo It: Exploring Undo Mechanics in Multi-User Virtual Reality,2024,Proceedings of the ACM Conference on Human Factors in Computing Systems (CHI),VR/AR,Digital Twin and Metaverse,Virtual and Digital,Mixed Methods,Metaverse
72,Learning-based Incentive Mechanism for Task Freshness-aware Vehicular Twin Migration,2023,2023 IEEE 43rd International Conference on Distributed Computing Systems Workshops (ICDCSW),Simulation Platform,Digital Twin and Metaverse,Decision and Management,Quantitative Analysis,Communication and Network
73,Machine Teaching in Swarm Metaverse under Different Levels of Autonomy,2025,Philosophical Transactions of the Royal Society A,Simulation Platform,Multi-Agent System and Reinforcement Learning,Decision and Management,Mixed Methods,Multi-Agent Collaboration
74,MADRL-Based Joint Edge Caching and Bitrate Selection for Multicategory 360° Video Streaming,2023,IEEE Internet Of Things Journal,Simulation,Artificial Intelligence,Digital Twin,Quantitative Metrics,Metaverse
75,MARL Sim2real Transfer: Merging Physical Reality With Digital Virtuality in Metaverse,2023,"IEEE Transactions On Systems, Man, And Cybernetics: Systems",Simulation,Simulation,Digital Twin,Quantitative Metrics,Metaverse
76,MAS-Bench: a benchmarking for parameter calibration of multi-agent crowd simulation,2024,Journal of Computational Social Science,Simulation Platform,Digital Twin and Metaverse,Environment and Physical,Quantitative Analysis,Data and Models
77,Meta-Services in Industry 5.0: A New Paradigm of Intelligent Services in Metaverses,2024,"IEEE Transactions on Systems, Man, and Cybernetics: Systems",Simulation Platform,Digital Twin and Metaverse,Virtual and Digital,Case Analysis,Metaverse
78,Metaversal intelligence: Unifying human-AI interactions in human-in-the-loop AIB-Metaverse,2025,Computer Networks,Simulation,Artificial Intelligence,Digital Twin,Comparative Analysis,Resource Management
79,Metaverse Community Group Loyalty Contagion and Regulation Model Based on User Stickiness,2023,IEEE Conference on Virtual Reality and 3D User Interfaces Abstracts and Workshops,Social,Social Computing,Social Interaction,Case Studies,Metaverse
80,Metaverse: A Solution to the Multi-Agent Value Alignment Problem,2022,Journal Of Artificial Intelligence And Consciousness,Simulation,Artificial Intelligence,Digital Twin,Theoretical Analysis,Multi-Agent Collaboration
81,Mobile Edge Adversarial Detection for Digital Twinning to the Metaverse: A Deep Reinforcement Learning Approach,2023,IEEE Transactions On Wireless Communications,Infrastructure,Artificial Intelligence,Learning,Comparative Analysis,Network
82,Multi-Agent Deep Reinforcement Learning for Digital Twin over 6G Wireless Communication in the Metaverse,2023,IEEE INFOCOM Workshops,Infrastructure,Artificial Intelligence,Learning,Comparative Analysis,Network
83,Multi-Agent DRL for Queue-Aware Task Offloading in Hierarchical MEC-Enabled Air-Ground Networks,2025,IEEE Transactions On Cognitive Communications And Networking,Infrastructure,Industrial Systems,Learning,Comparative Analysis,Network
84,Multi-agent Quantum Reinforcement Learning for Digital Twin Placement in 6G Multi-tier Systems,2024,"EAI International Conference, Iniscom",Simulation,Industrial Systems,Network Infrastructure,Quantitative Metrics,Resource Management
85,Multi-Agent Reinforcement Learning for Cooperative Air Transportation Services in City-Wide Autonomous Urban Air Mobility,2023,IEEE Transactions on Intelligent Vehicles,Simulation Platform,Transportation and Intelligent Systems,Terminals and Devices,Quantitative Analysis,Multi-Agent Collaboration
86,Multi-Agent Reinforcement Learning for Distributed Resource Allocation in Cell-Free Massive MIMO-Enabled Mobile Edge Computing Network,2023,IEEE Transactions On Vehicular Technology,Simulation,Industrial Systems,Network Infrastructure,Quantitative Metrics,Network
87,Multi-Attribute Auction-Based Resource Allocation for Twins Migration in Vehicular Metaverses: A GPT-Based DRL Approach,2025,IEEE Transactions on Cognitive Communications and Networking,Simulation Platform,Digital Twin and Metaverse,Terminals and Devices,Quantitative Analysis,Metaverse
88,Multi-Cluster Cooperative Offloading for VR Task: A MARL Approach With Graph Embedding,2024,IEEE Transactions on Mobile Computing,Simulation Platform,Digital Twin and Metaverse,Decision and Management,Quantitative Analysis,Computing and Resource Management
89,Multi-User Interaction Experience Optimization in the Metaverse,2024,IEEE INFOCOM Workshops,Simulation Platform,Multi-Agent System and Reinforcement Learning,Decision and Management,Quantitative Analysis,Communication and Network
90,Multiagent Deep Reinforcement Learning for Dynamic Avatar Migration in AIoT-Enabled Vehicular Metaverses With Trajectory Prediction,2024,IEEE Internet Of Things Journal,Infrastructure,Artificial Intelligence,Network Infrastructure,Quantitative Metrics,Network
91,Multiple-Agent Deep Reinforcement Learning for Avatar Migration in Vehicular Metaverses,2023,ACM Web Conference,Infrastructure,Artificial Intelligence,Network Infrastructure,Quantitative Metrics,Resource Management
92,Navigating the metaverse: unraveling the impact of artificial intelligence—a comprehensive review and gap analysis,2024,Artificial Intelligence Review,Metaverse,Digital Twin and Metaverse,Virtual and Digital,Quantitative Analysis,Metaverse
93,On a Cooperative Deep Reinforcement Learning-Based Multi-Objective Routing Strategy for Diversified 6G Metaverse Services,2024,IEEE Transactions On Vehicular Technology,Infrastructure,Artificial Intelligence,Network Infrastructure,Comparative Analysis,Network
94,On a Hierarchical Content Caching and Asynchronous Updating Scheme for Non-Terrestrial Network-Assisted Connected Automated Vehicles,2024,IEEE Journal On Selected Areas In Communications,Infrastructure,Artificial Intelligence,Network Infrastructure,Quantitative Metrics,Network
95,Parallel Transportation in TransVerse: From Foundation Models to DeCAST,2023,IEEE Transactions on Intelligent Transportation Systems,Simulation Platform,Traffic and Intelligent Systems,Decision and Management,Quantitative Analysis,Data and Models
96,Privacy-Preserving Platooning Control of Vehicular Cyber–Physical Systems With Saturated Inputs,2023,"IEEE Transactions on Systems, Man, and Cybernetics: Systems",Simulation Platform,Traffic and Intelligent Systems,Terminals and Devices,Quantitative Analysis,Blockchain and Security
97,Proposta de Agente autônomo utilizando as técnicas de mineração de processos em uma Arquitetura Virtual baseada em Sistemas Multiagentes,2021,14th IEEE International Conference on Industry Applications,Simulation Platform,Multi-Agent System and Reinforcement Learning,Decision and Management,Case Analysis,Computing and Resource Management
98,"Prospects for multi-agent collaboration and gaming: challenge, technology, and application",2022,Frontiers of Information Technology & Electronic Engineering,Simulation Platform,Multi-Agent System and Reinforcement Learning,Terminals and Devices,Quantitative Analysis,Metaverse
99,QoE-Oriented Cooperative VR Rendering and Dynamic Resource Leasing in Metaverse,2025,IEEE Transactions On Mobile Computing,Infrastructure,Artificial Intelligence,IoT Industrial,Comparative Analysis,Metaverse
100,QoI-Aware Mobile Crowdsensing for Metaverse by Multi-Agent Deep Reinforcement Learning,2023,IEEE Journal On Selected Areas In Communications,Infrastructure,Artificial Intelligence,Network Infrastructure,Quantitative Metrics,Models
101,Quantum Reinforcement Learning for Spatio-Temporal Prioritization in Metaverse,2024,IEEE Access,Metaverse,AI and Machine Learning,Decision and Management,Quantitative Analysis,Computing and Resource Management
102,Quantum-enhanced Federated Learning for Metaverse-empowered Vehicular Networks,2024,IEEE Transactions On Communications,Simulation,Simulation,Network Infrastructure,Quantitative Metrics,Models
103,Reputation-Based Trust Assessment of Transacting Service Components,2023,IEEE Conference On Computer Software And Applications,Simulation,Artificial Intelligence,Digital Twin,Case Studies,Metaverse
104,Research on Intelligent Applications of Metaverse Battlefield for Human-Computer Interaction,2024,Internal Technical Report,Simulation,Simulation,Social Interaction,Comparative Analysis,Network
105,Resource Allocation and QoE Maximization in Aerial MEC-empowered Metaverse Service: A CCM-Multi-agent DRL approach,2024,IEEE Global Communications Conference,Infrastructure,Industrial Systems,Learning,Comparative Analysis,Resource Management
106,Resource Allocation for Metaverse Experience Optimization: A Multi-Objective Multi-Agent Evolutionary Reinforcement Learning Approach,2025,IEEE Transactions On Mobile Computing,Infrastructure,Industrial Systems,Transportation,Comparative Analysis,Resource Management
107,Robotics in Metaverse,2025,Human-Centered Metaverse,VR/AR,Digital Twin and Metaverse,Terminals and Devices,Case Analysis,Metaverse
108,Scalable Consensus Over Finite Capacities in Multiagent IoT Ecosystems,2023,IEEE Internet Of Things Journal,Infrastructure,Industrial Systems,Transportation,Theoretical Analysis,Multi-Agent Collaboration
109,Securing Distributed Computing in the Metaverse: A Balanced TGDH Encryption Scheme,2023,IEEE International Conference on Metaverse Computing,Blockchain,Blockchain,Transportation,Theoretical Analysis,Network
110,Securing the Metaverse: The Intersection of ML-Based Oracles and Blockchain Technology,2024,International Conference On Intelligent Metaverse Technologies & Applications,Blockchain,Artificial Intelligence,Transportation,Quantitative Metrics,Models
111,Semantic Information Marketing in the Metaverse: A Learning-Based Contract Theory Framework,2024,IEEE Journal On Selected Areas In Communications,Infrastructure,Artificial Intelligence,Transportation,Comparative Analysis,Network
112,Semantic-Aware Blockchain Architecture Design for Edge-enabled Metaverse,2023,"2023 IEEE 14th Annual Ubiquitous Computing, Electronics & Mobile Communication Conference (UEMCON)",Simulation Platform,Digital Twin and Metaverse,Terminals and Devices,Quantitative Analysis,Computing and Resource Management
113,Sharing Traffic Priorities via Cyber–Physical–Social Intelligence: A Lane-Free Autonomous Intersection Management Method in Metaverse,2023,"IEEE Transactions on Systems, Man, and Cybernetics: Systems",Simulation Platform,Transportation and Intelligent Systems,Terminals and Devices,Quantitative Analysis,Multi-Agent Collaboration
114,Smart Farm Security by Combining IoT Sensor Network and Virtualized Mycelium Network,2023,Sensors,Infrastructure,Industrial Systems,Transportation,Quantitative Metrics,Network
115,Spatio-Temporal Multi-Metaverse Dynamic Streaming for Hybrid Quantum-Classical Systems,2024,IEEE Transactions On Networking,Blockchain,Artificial Intelligence,Transportation,Comparative Analysis,Resource Management
116,Swarm Metaverse for Multi-Level Autonomy Using Digital Twins,2023,Sensors,Simulation Platform,Multi-Agent System and Reinforcement Learning,Terminals and Devices,Quantitative Analysis,Blockchain and Security
117,Technology for Synergistic Solutions Co-Creation Based on Multi-Agents’ Diversities Interaction,2023,Information Technology And Implementation,Simulation,Artificial Intelligence,Digital Twin,Quantitative Metrics,Multi-Agent Collaboration
118,The 3rd International Workshop on Deep Learning for the Web of Things,2023,ACM Web Conference,Blockchain,Industrial Systems,Social Interaction,Case Studies,Metaverse
119,The impact of eye gaze on social interactions of females in virtual reality: The mediating role of the uncanniness of avatars and the moderating role of task type,2023,Heliyon,Social,Social Computing,Social Interaction,Quantitative Metrics,Metaverse
120,The Matrix: Quantum AI for Interacting Two Worlds in Prioritized Metaverse Spaces,2024,IEEE Communications Magazine,Simulation Platform,Digital Twin and Metaverse,Terminals and Devices,Quantitative Analysis,Metaverse
121,"The Simulation Methods in Library and Information Science: Method, Application and Future Directions",2022,Knowledge Of Library And Information Science,Simulation,Social Computing,Social Interaction,Theoretical Analysis,Metaverse
122,The Transformation of the New Media Communication Paradigm in the Metaverse Era and Blockchain Based on the Topological Characteristics of Information Communication,2024,International Journal Of Web Services Research,Blockchain,Blockchain,Social Interaction,Case Studies,Network
123,Tiny Multiagent DRL for Twins Migration in UAV Metaverses: A Multileader Multifollower Stackelberg Game Approach,2024,IEEE Internet Of Things Journal,Infrastructure,Artificial Intelligence,Network Infrastructure,Comparative Analysis,Network
124,TMETA: Trust Management for the Cold Start of IoT Services With Digital-Twin-Aided Blockchain,2023,IEEE IOT Journal,Blockchain,Communication Network and IoT,Decision and Management,Quantitative Analysis,Blockchain and Security
125,Toward Human Digital Twins for Cybersecurity Simulations on the Metaverse: Ontological and Network Science Approach,2022,Jmirx Med,Simulation,Artificial Intelligence,Social Interaction,Case Studies,Metaverse
126,Towards defining industry 5.0 vision with intelligent and softwarized wireless network architectures and services: A survey,2024,Journal of Network and Computer Applications,Simulation Platform,AI and Machine Learning,Decision and Management,Case Analysis,Communication and Network
127,Towards Diverse Non-Player Character Behaviour Discovery in Multi-Agent Environments,2024,IEEE Conference on Games (CoG),Simulation Platform,Multi-Agent System and Reinforcement Learning,Virtual and Digital,Quantitative Analysis,Data and Models
128,Towards parallel Metaverse: symbiosis of physical and virtual worlds based on Cybertwin-enabled 6G,2025,Digital Communications And Networks,Infrastructure,Industrial Systems,Transportation,Quantitative Metrics,Network
129,Two-Timescale Synchronization and Migration for Digital Twin Networks: A Multi-Agent Deep Reinforcement Learning Approach,2024,IEEE Transactions on Wireless Communications,Simulation Platform,Digital Twin and Metaverse,Decision and Management,Quantitative Analysis,Communication and Network
130,UAV-Assisted Dynamic Avatar Task Migration for Vehicular Metaverse Services: A Multi-Agent Deep Reinforcement Learning Approach,2024,IEEE Journal Of Automatica Sinica,Infrastructure,Artificial Intelligence,Network Infrastructure,Comparative Analysis,Resource Management
131,Understanding the Interplay of Model Complexity and Fidelity in Multiagent Systems via an Evolutionary Framework,2017,IEEE Transactions On Computational Intelligence And Ai In Games,Simulation,Simulation,Social Interaction,Quantitative Metrics,Resource Management
132,User Recommendation in Social Metaverse with VR,2022,Proceedings of the 31st ACM International Conference on Information and Knowledge Management (CIKM ’22),VR/AR,Digital Twin and Metaverse,Virtual and Digital,Quantitative Analysis,Metaverse
133,Vectorial-Opinion Dynamics With Familiarity Neighborhoods in Virtual Social Groups,2022,IEEE Transactions On Computational Social Systems,Social,Social Computing,Social Interaction,Quantitative Metrics,Network
134,Virtual Cities: From Digital Twins to Autonomous AI Societies,2025,IEEE Access,Simulation,Simulation,Digital Twin,Case Studies,Metaverse
135,VRRC: Empowering Metaverse-Infused Driving Experience for Multiplatoon Vehicles Through IoRT,2024,IEEE Internet Of Things Journal,Simulation,Artificial Intelligence,Network Infrastructure,Quantitative Metrics,Network
136,When Metaverses Meet Vehicle Road Cooperation: Multiagent DRL-Based Stackelberg Game for Vehicular Twins Migration,2024,IEEE Internet Of Things Journal,Infrastructure,Industrial Systems,Transportation,Comparative Analysis,Network
137,Where is the research on connecting game worlds?—A systematic mapping study,2015,Computer Science Review,Metaverse,Digital Twin and Metaverse,Multi-Agent System,Case Analysis,Metaverse
