ID,Title,Year,Venue,PlatformType_R1,PlatformType_R2,ApplicationDomain_R1,ApplicationDomain_R2,AgentRole_R1,AgentRole_R2,EvaluationMethod_R1,EvaluationMethod_R2,Challenges_R1,Challenges_R2
1,A Bayesian Framework-Based Digital Twin Wireless System Control,2023,IEEE Journal On Selected Areas In Communications,Simulation,Simulation,Artificial Intelligence,Artificial Intelligence,Network Infrastructure,Transportation,Quantitative Metrics,Quantitative Metrics,Multi-Agent Collaboration,Communication and Network
2,A Cloud-Edge Service Offloading Method for Smart Manufacturing Metaverse,2023,Software: Practice and Experience,Metaverse,Metaverse,Edge-Cloud Collaboration,Edge-Cloud Collaboration,Decision and Management,Decision and Management,Quantitative Analysis,Quantitative Analysis,Computing and Resource Management,Computing and Resource Management
3,A Conceptual Framework for Digital Twins of Multi-Agent Systems,2025,Procedia Computer Science,Digital Twin,Digital Twin,Multi-Agent System and Reinforcement Learning,Multi-Agent System and Reinforcement Learning,Multi-Agent System,Multi-Agent System,Quantitative Analysis,Quantitative Analysis,Data and Models,Data and Models
4,A Distributed Asset Trading Mechanism Based on Automated Negotiation,2023,"IEEE International Conference on Metaverse Computing, Networking, and Applications",Blockchain,Blockchain,Multi-Agent System and Reinforcement Learning,Multi-Agent System and Reinforcement Learning,Multi-Agent System,Multi-Agent System,Quantitative Analysis,Quantitative Analysis,Blockchain and Security,Blockchain and Security
5,A Graph-Assisted Digital-Twin-Driven Multiagent Shared Offloading for Internet of Vehicles,2025,IEEE IoT Journal,Digital Twin,Digital Twin,Communication Network and IoT,Communication Network and IoT,Terminals and Devices,Terminals and Devices,Quantitative Analysis,Quantitative Metrics,Communication and Network,Communication and Network
6,A Metaverse-Based Teaching Building Evacuation Training System With Deep Reinforcement Learning,2023,"IEEE Transactions on Systems, Man, and Cybernetics: Systems",Digital Twin,Digital Twin,Communication Network and IoT,Communication Network and IoT,Terminals and Devices,Terminals and Devices,Quantitative Analysis,Theoretical Analysis,Computing and Resource Management,Computing and Resource Management
7,"A Metaverse: Taxonomy, Components, Applications, and Open Challenges",2022,IEEE Access,Metaverse,Industrial,Digital Twin and Metaverse,Artificial Intelligence and Machine Learning,Virtual and Digital,Virtual and Digital,Mixed Methods,Mixed Methods,Metaverse,Metaverse
8,A Novel Multi-Objective Routing Scheme based on Cooperative Multi-Agent Reinforcement Learning for Metaverse Services in Fixed 6G,2023,Wireless And Optical Communications Conference,Simulation,Simulation,Artificial Intelligence,Artificial Intelligence,Network Infrastructure,Network Infrastructure,Comparative Analysis,Comparative Analysis,Network,Network
9,A Review of Platforms for Simulating Embodied Agents in 3D Virtual Environments,2023,Artificial Intelligence Review,Simulation Platform,Digital Twin,Digital Twin and Metaverse,Digital Twin and Metaverse,Multi-Agent System,Multi-Agent System,Quantitative Analysis,Case Analysis,Metaverse,Metaverse
10,A Robot Augmented Environment Based on ROS multi-Agent Structure,2019,"International Conference On Control, Robotics And Cybernetics",Industrial,Industrial,Simulation,AI and Machine Learning,Network Infrastructure,Network Infrastructure,Case Studies,Case Studies,Metaverse,Metaverse
11,"A Virtual Laboratory for Multiagent Systems: Joining Efficacy, Learning Analytics and Student Satisfaction",2016,International Symposium On Computers In Education,Simulation,Simulation,Artificial Intelligence,Artificial Intelligence,Network Infrastructure,Network Infrastructure,Quantitative Metrics,Quantitative Metrics,Metaverse,Metaverse
12,A-MADDPG Based Partial Offloading in Digital Twin Edge Network (DITEN) Empowered IIoT,2024,IEEE International Symposium on Parallel and Distributed Processing and Applications,Digital Twin,Communication Network,Communication Network and IoT,Traffic and Intelligent Systems,Terminals and Devices,Terminals and Devices,Quantitative Analysis,Quantitative Analysis,Computing and Resource Management,Computing and Resource Management
13,Adaptive Digital Twin and Multiagent Deep Reinforcement Learning for Vehicular Edge Computing and Networks,2022,IEEE Transactions on Industrial Informatics,Digital Twin,Digital Twin,Edge-Cloud Collaboration,Edge-Cloud Collaboration,Terminals and Devices,Terminals and Devices,Quantitative Analysis,Quantitative Analysis,Communication and Network,Communication and Network
14,Adaptive Social Metaverse Streaming Based on Federated Multiagent Deep Reinforcement Learning,2025,IEEE Transactions On Computational Social Systems,Social,Social,Artificial Intelligence,Artificial Intelligence,Network Infrastructure,Network Infrastructure,Quantitative Metrics,Quantitative Metrics,Network,Network
15,Adaptive solutions for metaverse urban mobility through decision-making and blockchain,2024,Alexandria Engineering Journal,Simulation,Blockchain,Artificial Intelligence,Artificial Intelligence,Digital Twin,IoT Industrial,Theoretical Analysis,Theoretical Analysis,Network,Network
16,"AI-Assisted Edge Caching for Metaverse of Connected and Automated Vehicles: Proposal, Challenges, and Future Perspectives",2023,IEEE Vehicular Technology Magazine,Edge-Cloud,Edge-Cloud,Digital Twin and Metaverse,Digital Twin and Metaverse,Terminals and Devices,Terminals and Devices,Quantitative Analysis,Quantitative Analysis,Data and Models,Data and Models
17,AI-Enabled Network-Functions Virtualization and Software-Defined Architectures for Customized Statistical QoS Over 6G Massive MIMO Mobile Wireless Networks,2023,IEEE Network,Communication Network,Communication Network,Communication Network and IoT,Communication Network and IoT,Decision and Management,Digital Twin,Quantitative Analysis,Qualitative Analysis,Computing and Resource Management,Computing and Resource Management
18,Application of Traffic Light Control in Oversaturated Urban Network Using Multi-Agent Deep Reinforcement Learning,2024,IEEE Access,Simulation Platform,Simulation Platform,Multi-Agent System and Reinforcement Learning,Multi-Agent System and Reinforcement Learning,Virtual and Digital,Virtual and Digital,Quantitative Analysis,Quantitative Analysis,Multi-Agent Collaboration,Multi-Agent Collaboration
19,"Artificial Intelligence-Enabled Metaverse for Sustainable Smart Cities: Technologies, Applications, Challenges, and Future Directions",2024,Electronics,Metaverse,Metaverse,Artificial Intelligence and Machine Learning,Artificial Intelligence and Machine Learning,Virtual and Digital,Social Interaction,Mixed Methods,Mixed Methods,Data and Models,Data and Models
20,Asynchronous Hybrid Reinforcement Learning for Latency and Reliability Optimization in the Metaverse Over Wireless Communications,2023,IEEE Journal On Selected Areas In Communications,Social,Social,Artificial Intelligence,Artificial Intelligence,Learning,Learning,Comparative Analysis,Comparative Analysis,Resource Management,Resource Management
21,Blockchain-Based Pseudonym Management for Vehicle Twin Migrations in Vehicular Edge Metaverse,2024,IEEE Internet Of Things Journal,Infrastructure,Infrastructure,Blockchain,Blockchain,Transportation,Transportation,Quantitative Metrics,Quantitative Metrics,Resource Management,Models
22,Blockchain-Empowered Multi-Domain Resource Trading in TN-NTN 6G Networks- A Hierarchical Multi-Agent DRL Approach,2024,IEEE Internet Of Things Journal,Simulation,Simulation,Industrial Systems,Industrial Systems,Transportation,Transportation,Quantitative Metrics,Quantitative Metrics,Resource Management,Resource Management
23,Blockchain-Empowered Resource Allocation in HAPS-assisted IoV Digital Twin Networks: A Federated DRL Approach,2024,IEEE Transactions On Intelligent Vehicles,Simulation,Simulation,Simulation,Simulation,Transportation,Transportation,Comparative Analysis,Case Studies,Network,Models
24,Blockchain-enabled dispersed computing paradigm in Web 3.0 metaverse,2025,Computer Networks,Blockchain,Blockchain,Blockchain,Blockchain,Network Infrastructure,Network Infrastructure,Theoretical Analysis,Theoretical Analysis,Network,Network
25,Chasing in virtual environment: Dynamic alignment for multi-user collaborative redirected walking,2025,Virtual Reality & Intelligent Hardware,Social,Social,Simulation,Simulation,IoT Industrial,IoT Industrial,Case Studies,Case Studies,Multi-Agent Collaboration,Multi-Agent Collaboration
26,"Cognitive digital twin-based Internet of Robotic Things, multi-sensory extended reality and simulation modeling technologies, and generative artificial intelligence and cyber–physical manufacturing systems in the immersive industrial metaverse",2024,Equilibrium. Quarterly Journal Of Economics And Economic Policy,Industrial,Industrial,Simulation,Simulation,Digital Twin,Environment and Physical,Case Studies,Mixed Methods,Resource Management,Resource Management
27,CollaborativeBEV: Collaborative bird eye view for reconstructing crowded environment,2024,Image And Vision Computing,Simulation,Digital Twin,Simulation,Simulation,Digital Twin,Digital Twin,Quantitative Metrics,Quantitative Metrics,Models,Models
28,Constructing the Metaverse With a New Perspective: UAV FoV-Assisted Low-Latency Imaging,2025,IEEE Wireless Communications Letters,Metaverse,Edge-Cloud,Digital Twin and Metaverse,Digital Twin and Metaverse,Terminals and Devices,Terminals and Devices,Quantitative Analysis,Quantitative Analysis,Metaverse,Metaverse
29,Control and Decision Theory in Metaverse: A Survey,2022,2022 China Automation Congress (CAC),Metaverse,Industrial,Digital Twin and Metaverse,Digital Twin and Metaverse,Virtual and Digital,Terminals and Devices,Qualitative Analysis,Qualitative Analysis,Computing and Resource Management,Models
30,Cooperative End-Edge-Cloud Computing and Resource Allocation for Digital Twin Enabled 6G Industrial IoT,2024,IEEE Journal of Selected Topics in Signal Processing,Edge-Cloud,Digital Twin,Communication Network and IoT,Transportation and Intelligent Systems,Terminals and Devices,Terminals and Devices,Quantitative Analysis,Quantitative Analysis,Metaverse,Metaverse
31,Cooperative Multiagent Deep Reinforcement Learning for Computation Offloading in Digital Twin Cyber–Physical–Social System,2025,IEEE Transactions On Computational Social Systems,Social,Social,Industrial Systems,Industrial Systems,Network Infrastructure,Network Infrastructure,Comparative Analysis,Comparative Analysis,Network,Network
32,Cooperative Reinforcement Learning for Military Drones over Large-Scale Battlefields,2024,IEEE Transactions on Intelligent Vehicles,Simulation Platform,Simulation Platform,Multi-Agent System and Reinforcement Learning,Multi-Agent System and Reinforcement Learning,Terminals and Devices,Terminals and Devices,Quantitative Analysis,Quantitative Analysis,Multi-Agent Collaboration,Multi-Agent Collaboration
33,Csound vs. ChucK: Sound Generation for XR Multi-Agent Audio Systems in the Meta Quest 3 Using the Unity Game Engine,2024,Proceedings of the Sound and Music Computing Conference,VR/AR,VR/AR,Digital Twin and Metaverse,Digital Twin and Metaverse,Virtual and Digital,Virtual and Digital,Quantitative Analysis,Theoretical Analysis,Metaverse,Metaverse
34,Deep Reinforcement Learning based Multi-attribute Auction Model for Resource Allocation in Vehicular AIGC Services,2024,2024 International Conference on Generative AI and Information Security (GAIIS 2024),Metaverse,VR/AR,AI and Machine Learning,AI and Machine Learning,Terminals and Devices,Terminals and Devices,Quantitative Analysis,Quantitative Analysis,Computing and Resource Management,Computing and Resource Management
35,Deep Reinforcement Learning-based Stackelberg Game for Energy Trading in Power Grid Metaverses,2024,IEEE Smart World Congress,Simulation,Simulation,Artificial Intelligence,Artificial Intelligence,Network Infrastructure,Network Infrastructure,Quantitative Metrics,Qualitative Analysis,Resource Management,Resource Management
36,Developing enhanced conversational agents for social virtual worlds,2019,Neurocomputing,Metaverse,Metaverse,Multi-Agent System and Reinforcement Learning,Multi-Agent System and Reinforcement Learning,Virtual and Digital,Virtual and Digital,Quantitative Analysis,Quantitative Analysis,Metaverse,Metaverse
37,Development of crop-simulation multiagent system for smart digital twin of plant,2023,Technical Report - Russian Science Foundation,Infrastructure,Infrastructure,Artificial Intelligence,Artificial Intelligence,Digital Twin,Digital Twin,Case Studies,Case Analysis,Models,Metaverse
38,Digital Twin and Artificial Intelligence-Empowered Panoramic Video Streaming: Reducing Transmission Latency in the Extended Reality-Assisted Vehicular Metaverse,2023,IEEE Vehicular Technology Magazine,Metaverse,Metaverse,Digital Twin and Metaverse,Blockchain,Virtual and Digital,Social Interaction,Quantitative Analysis,Quantitative Metrics,Communication and Network,Communication and Network
39,"Digital Twin in the IoT Context: A Survey on Technical Features, Scenarios, and Architectural Models",2020,IEEE Access,Infrastructure,Infrastructure,Simulation,Simulation,Digital Twin,Transportation,Theoretical Analysis,Theoretical Analysis,Metaverse,Metaverse
40,Digital Twin-Assisted Space-Air-Ground Integrated Networks for Vehicular Edge Computing,2024,IEEE Journal of Selected Topics in Signal Processing,Communication Network,Communication Network,Digital Twin and Metaverse,Digital Twin and Metaverse,Terminals and Devices,Terminals and Devices,Quantitative Analysis,Quantitative Analysis,Communication and Network,Communication and Network
41,Digital Twins-based Multi-agent Deep Reinforcement Learning for UAV-assisted Vehicle Edge Computing,2022,IEEE Access,Simulation,Simulation,Simulation,Digital Twin and Metaverse,Network Infrastructure,Social Interaction,Quantitative Metrics,Quantitative Metrics,Network,Network
42,Digital twins-enabled game theoretical models and techniques for metaverse Connected and Autonomous Vehicles: A survey,2025,Journal of Network and Computer Applications,Metaverse,Metaverse,Digital Twin and Metaverse,Transportation and Intelligent Systems,Terminals and Devices,Network Infrastructure,Qualitative Analysis,Qualitative Analysis,Blockchain and Security,Blockchain and Security
43,Disaster Assistance Intelligent Agent,2023,International Conference On Computing Communication And Networking Technologies,Simulation,Simulation,Artificial Intelligence,Artificial Intelligence,Digital Twin,Digital Twin,Quantitative Metrics,Mixed Methods,Models,Models
44,Distributed deep reinforcement learning-based coordination performance optimization method for proton exchange membrane fuel cell system,2022,Sustainable Energy Technologies And Assessments,Simulation,Simulation,Artificial Intelligence,Artificial Intelligence,IoT Industrial,IoT Industrial,Comparative Analysis,Quantitative Analysis,Metaverse,Metaverse
45,Distributed Pursuit-Evasion Game of Limited Perception USV Swarm Based on Multiagent Proximal Policy Optimization,2024,"IEEE Transactions on Systems, Man, and Cybernetics: Systems",Simulation Platform,Simulation Platform,Multi-Agent System and Reinforcement Learning,Multi-Agent System and Reinforcement Learning,Communication and Computing,Communication and Computing,Quantitative Analysis,Quantitative Analysis,Computing and Resource Management,Computing and Resource Management
46,Distributed Resource Optimization With Blockchain Security for Immersive Digital Twin in IIoT,2023,IEEE Transactions On Industrial Informatics,Infrastructure,Infrastructure,Blockchain,Blockchain,Network Infrastructure,Network Infrastructure,Simulation-Based,Simulation-Based,Network,Network
47,Dynamic Resource Scheduling for Air-Ground Collaborative Communication: A Hierarchical Multi-Agent Method for Metaverse,2023,International Wireless Communications & Mobile Computing Conference,Infrastructure,Infrastructure,Artificial Intelligence,Artificial Intelligence,Network Infrastructure,Network Infrastructure,Simulation-Based,Quantitative Analysis,Multi-Agent Collaboration,Multi-Agent Collaboration
48,Edge Computing for Metaverse: Incentive Mechanism versus Semantic Communication,2024,IEEE Transactions on Mobile Computing,Metaverse,Metaverse,Edge-Cloud Collaboration,Edge-Cloud Collaboration,Virtual and Digital,Virtual and Digital,Quantitative Analysis,Mixed Methods,Blockchain and Security,Blockchain and Security
49,Efficient Twin Migration in Vehicular Metaverses: Multi-Agent Split Deep Reinforcement Learning with Spatio-Temporal Trajectory Generation,2023,IEEE Conference,Infrastructure,Infrastructure,Artificial Intelligence,Artificial Intelligence,Network Infrastructure,Network Infrastructure,Comparative Analysis,Comparative Analysis,Network,Network
50,Empowering Virtual Humans' Emotional Expression in the Metaverse,2023,17th International Conference on Universal Access in Human-Computer Interaction (UAHCI 2023),VR/AR,VR/AR,Digital Twin and Metaverse,Digital Twin and Metaverse,Terminals and Devices,Terminals and Devices,Case Analysis,Case Analysis,Multi-Agent Collaboration,Multi-Agent Collaboration
51,Enabling the Wireless Metaverse via Semantic Multiverse Communication,2023,"IEEE International Conference on Sensing, Communication, and Networking",Infrastructure,Infrastructure,Artificial Intelligence,Artificial Intelligence,Social Interaction,Decision and Management,Simulation-Based,Simulation-Based,Network,Network
52,Energy-Efficient Ground-Air-Space Vehicular Crowdsensing by Hierarchical Multi-Agent Deep Reinforcement Learning With Diffusion Models,2024,IEEE Journal on Selected Areas in Communications,Simulation Platform,Digital Twin,Communication Network and IoT,Communication Network and IoT,Terminals and Devices,Terminals and Devices,Quantitative Analysis,Case Studies,Data and Models,Data and Models
53,Enhancing Computational Processing Performance for Generative AI Large Models with Autonomous Decision-Making in Metaverse Applications,2024,IEEE International Conference on Metaverse Computing,Simulation,Simulation,Artificial Intelligence,Artificial Intelligence,Transportation,Transportation,Case Studies,Case Studies,Resource Management,Resource Management
54,Environmental Cognition-Driven Hierarchical Decision-Making for Air-Ground Collaborative Communication,2024,IEEE International Conference on Communications in China,Infrastructure,Infrastructure,Industrial Systems,Industrial Systems,Network Infrastructure,Learning,Simulation-Based,Simulation-Based,Network,Network
55,Exploring the Confluence of IoT and Metaverse: Future Opportunities and Challenges,2023,IEEE Internet Of Things Journal,Simulation,Simulation,Industrial Systems,Industrial Systems,Network Infrastructure,Network Infrastructure,Quantitative Metrics,Quantitative Metrics,Models,Models
56,"Exploring the convergence of Metaverse, Blockchain, Artificial Intelligence, and digital twin for pioneering the digitization in the envision smart grid 3.0",2024,Computers and Electrical Engineering,Simulation Platform,Simulation Platform,Digital Twin and Metaverse,Transportation and Intelligent Systems,Terminals and Devices,Learning,Quantitative Analysis,Quantitative Analysis,Blockchain and Security,Data and Models
57,Federated Learning for improved prediction of failures in Autonomous Guided Vehicles,2023,Journal Of Computational Science,Industrial,Industrial,Artificial Intelligence,Artificial Intelligence,Transportation,Transportation,Quantitative Metrics,Quantitative Analysis,Network,Network
58,Foundations for Grassroots Democratic Metaverse,2022,AAMAS,Simulation,Simulation,Blockchain,Blockchain,Digital Twin,Digital Twin,Theoretical Analysis,Comparative Analysis,Network,Network
59,GenAI-Enhanced Federated Multiagent DRL for Digital-Twin-Assisted IoV Networks,2025,IEEE Internet of Things Journal,Simulation Platform,Simulation Platform,Communication Network and IoT,Communication Network and IoT,Terminals and Devices,Terminals and Devices,Quantitative Analysis,Case Analysis,Data and Models,Data and Models
60,Hierarchical Deep Reinforcement Learning With Experience Sharing for Metaverse in Education,2023,"IEEE Transactions On Systems, Man, And Cybernetics: Systems",Simulation,Simulation,Artificial Intelligence,Artificial Intelligence,Social Interaction,Social Interaction,Case Studies,Case Studies,Metaverse,Metaverse
61,Human-Aware Dynamic Hierarchical Network Control for Distributed Metaverse Services,2024,IEEE Journal On Selected Areas In Communications,Infrastructure,Infrastructure,Industrial Systems,Industrial Systems,Network Infrastructure,Network Infrastructure,Quantitative Metrics,Quantitative Metrics,Network,Network
62,Human-Centric Resource Allocation for the Metaverse With Multiaccess Edge Computing,2023,IEEE Internet Of Things Journal,Infrastructure,Infrastructure,Artificial Intelligence,Artificial Intelligence,Social Interaction,Social Interaction,Case Studies,Case Studies,Network,Network
63,Hybrid Strategy-Based AoI-Awared Collaborative Edge Computing Algorithm in Federated Mode,2023,IEEE Global Communications Conference ,Simulation,Simulation,Artificial Intelligence,Artificial Intelligence,Network Infrastructure,Network Infrastructure,Quantitative Metrics,Quantitative Metrics,Models,Multi-Agent Collaboration
64,Improving End-To-End Latency Fairness Using a Reinforcement-Learning-Based Network Scheduler,2023,Applied Sciences,Infrastructure,Simulation Platform,Artificial Intelligence,Artificial Intelligence,Learning,Learning,Comparative Analysis,Comparative Analysis,Network,Network
65,Integration of Decentralized Graph-Based Multi-Agent Reinforcement Learning with Digital Twin for Traffic Signal Optimization,2024,Symmetry,Simulation Platform,Simulation Platform,Transportation and Intelligent Systems,Transportation and Intelligent Systems,Decision and Management,Decision and Management,Quantitative Analysis,Theoretical Analysis,Data and Models,Data and Models
66,"Integration of Sensing, Communication, and Computing for Metaverse: A Survey",2024,ACM Computing Surveys,Simulation Platform,Simulation Platform,Digital Twin and Metaverse,Digital Twin and Metaverse,Terminals and Devices,Terminals and Devices,Case Analysis,Case Analysis,Communication and Network,Communication and Network
67,Intelligent and efficient Metaverse rendering and caching in UAV-aided vehicular edge computing,2025,Vehicular Communications,Simulation Platform,Simulation Platform,Digital Twin and Metaverse,Traffic and Intelligent Systems,Terminals and Devices,Terminals and Devices,Quantitative Analysis,Case Studies,Metaverse,Metaverse
