Keyword,Frequency
metaverse,50
reinforcement learning,44
multi agent systems,29
blockchain,24
artificial intelligence,23
virtual reality,22
digital twin,21
resource allocation,20
edge computing,12
uav,11
iot,10
federated learning,8
communication,8
simulation,8
quality of experience qoe,6
social networks,6
graph neural networks,5
security,4
privacy,4
smart systems,4
stackelberg game,4
tools,3
digital democracy,3
avatar,3
semantic communication,3
trust,3
sensor,3
model optimization,3
6g,3
cyber physical systems,3
decision making,3
age of information,3