ID,Title,Platform_Type,Agent_Role,Application_Domain,Evaluation_Method,Metrics,Challenges,Year,Venue
1,A Bayesian Framework-Based Digital Twin Wireless System Control,['Digital twins'],"['Coordinator', 'Executor']","['Industry 4.0', 'Smart cities']",['Simulation'],"['Efficiency', 'Accuracy']","['Scalability', 'Trust', 'Ethics']",2023,IEEE Journal On Selected Areas In Communications
2,A Cloud-Edge Service Offloading Method for Smart Manufacturing Metaverse,"['VR/AR', 'Digital twins']","['Executor', 'Coordinator']",['Smart cities'],['Simulation'],"['Task completion', 'Accuracy']","['Scalability', 'Trust', 'Ethics']",2023,Software: Practice and Experience
3,A Conceptual Framework for Digital Twins of Multi-Agent Systems,"['Digital twins', 'Social simulation']","['Executor', 'Environment simulator']","['Healthcare', 'Smart cities']",['Simulation'],"['Accuracy', 'Realism']","['Scalability', 'Realism']",2025,Procedia Computer Science
4,A Distributed Asset Trading Mechanism Based on Automated Negotiation,['Blockchain-based'],"['Executor', 'Assistant']","['Smart cities', 'Education']",['Simulation'],"['Task completion', 'Accuracy', 'Latency']",['Trust'],2023,"IEEE International Conference on Metaverse Computing, Networking, and Applications"
5,A Graph-Assisted Digital-Twin-Driven Multiagent Shared Offloading for Internet of Vehicles,['Digital twins'],"['Executor', 'Coordinator']",['Smart cities'],['Simulation'],"['Task completion', 'Latency', 'Accuracy']","['Scalability', 'Realism']",2025,IEEE IoT Journal
6,A Metaverse-Based Teaching Building Evacuation Training System With Deep Reinforcement Learning,"['VR/AR', 'Social simulation']","['Coordinator', 'Environment simulator']","['Education', 'Emergency response']",['Simulation'],"['Task completion', 'Realism']","['Realism', 'Scalability']",2023,"IEEE Transactions on Systems, Man, and Cybernetics: Systems"
7,"A Metaverse: Taxonomy, Components, Applications, and Open Challenges","['VR/AR', 'Game-based', 'Social simulation']","['Avatar', 'Assistant', 'Environment simulator']","['Education', 'Gaming', 'Social interaction', 'Healthcare']","['Simulation', 'Case studies']","['Realism', 'Accuracy', 'User satisfaction']","['Scalability', 'Ethics', 'Realism']",2022,IEEE Access
8,A Novel Multi-Objective Routing Scheme based on Cooperative Multi-Agent Reinforcement Learning for Metaverse Services in Fixed 6G,"['VR/AR', 'Social simulation']","['Coordinator', 'Executor']","['Education', 'Gaming', 'Industry 4.0', 'Smart cities']",['Simulation'],"['Latency', 'Task completion', 'Accuracy']","['Scalability', 'Trust']",2023,Wireless And Optical Communications Conference
9,A Review of Platforms for Simulating Embodied Agents in 3D Virtual Environments,"['Game-based', 'Social simulation', 'VR/AR']","['Executor', 'Environment simulator']","['Gaming', 'Smart cities', 'Education']","['Simulation', 'Benchmarks']","['Realism', 'Accuracy', 'Task completion']","['Scalability', 'Realism', 'Interoperability']",2023,Artificial Intelligence Review
10,A Robot Augmented Environment Based on ROS multi-Agent Structure,"['Digital twins', 'Social simulation']","['Executor', 'Coordinator']",['Industry 4.0'],['Simulation'],"['Task completion', 'Accuracy']","['Realism', 'Interoperability']",2019,"International Conference On Control, Robotics And Cybernetics"
11,"A Virtual Laboratory for Multiagent Systems: Joining Efficacy, Learning Analytics and Student Satisfaction",['Social simulation'],"['Executor', 'Environment simulator']",['Education'],"['Simulation', 'User studies', 'Qualitative methods']","['Task completion', 'User satisfaction', 'Accuracy']","['Scalability', 'Interoperability']",2016,International Symposium On Computers In Education
12,A-MADDPG Based Partial Offloading in Digital Twin Edge Network (DITEN) Empowered IIoT,['Digital twins'],"['Executor', 'Coordinator']",['Industry 4.0'],['Simulation'],"['Task completion', 'Latency', 'Accuracy']","['Scalability', 'Realism']",2024,IEEE International Symposium on Parallel and Distributed Processing and Applications
13,Adaptive Digital Twin and Multiagent Deep Reinforcement Learning for Vehicular Edge Computing and Networks,['Digital twins'],"['Executor', 'Coordinator']","['Smart cities', 'Industry 4.0']",['Simulation'],"['Task completion', 'Accuracy']","['Scalability', 'Realism']",2022,IEEE Transactions on Industrial Informatics
14,Adaptive Social Metaverse Streaming Based on Federated Multiagent Deep Reinforcement Learning,"['VR/AR', 'Social simulation']","['Coordinator', 'Executor']","['Gaming', 'Social interaction']","['Simulation', 'User studies']","['Latency', 'User satisfaction', 'Realism']","['Scalability', 'Ethics', 'Trust']",2025,IEEE Transactions On Computational Social Systems
15,Adaptive solutions for metaverse urban mobility through decision-making and blockchain,"['Digital twins', 'Blockchain-based']","['Coordinator', 'Executor']",['Smart cities'],"['User studies', 'Qualitative methods']","['Accuracy', 'User satisfaction', 'Task completion']","['Trust', 'Ethics', 'Interoperability']",2024,Alexandria Engineering Journal
16,"AI-Assisted Edge Caching for Metaverse of Connected and Automated Vehicles: Proposal, Challenges, and Future Perspectives","['Digital twins', 'Blockchain-based']","['Executor', 'Coordinator']","['Smart cities', 'Industry 4.0']",['Simulation'],['Task completion'],"['Scalability', 'Trust', 'Ethics']",2023,IEEE Vehicular Technology Magazine
17,AI-Enabled Network-Functions Virtualization and Software-Defined Architectures for Customized Statistical QoS Over 6G Massive MIMO Mobile Wireless Networks,['Social simulation'],"['Coordinator', 'Executor']","['Smart cities', 'Industry 4.0']",['Simulation'],"['Accuracy', 'Latency', 'Task completion']","['Scalability', 'Interoperability']",2023,IEEE Network
18,Application of Traffic Light Control in Oversaturated Urban Network Using Multi-Agent Deep Reinforcement Learning,['Social simulation'],"['Coordinator', 'Executor']",['Smart cities'],['Simulation'],"['Task completion', 'Accuracy', 'Realism']","['Scalability', 'Realism']",2024,IEEE Access
19,"Artificial Intelligence-Enabled Metaverse for Sustainable Smart Cities: Technologies, Applications, Challenges, and Future Directions","['Digital twins', 'VR/AR', 'Social simulation']","['Avatar', 'Coordinator', 'Executor']",['Smart cities'],"['Simulation', 'Case studies']","['Realism', 'Accuracy', 'User satisfaction']","['Scalability', 'Interoperability', 'Ethics']",2024,Electronics
20,Asynchronous Hybrid Reinforcement Learning for Latency and Reliability Optimization in the Metaverse Over Wireless Communications,"['Digital twins', 'VR/AR']","['Executor', 'Coordinator']","['Gaming', 'Social interaction']",['Simulation'],"['Latency', 'Task completion', 'Accuracy']","['Scalability', 'Realism']",2023,IEEE Journal On Selected Areas In Communications
21,Blockchain-Based Pseudonym Management for Vehicle Twin Migrations in Vehicular Edge Metaverse,"['Blockchain-based', 'Digital twins']","['Avatar', 'Executor']",['Smart cities'],"['Simulation', 'Benchmarks']","['Task completion', 'Latency', 'Accuracy']","['Scalability', 'Interoperability', 'Trust', 'Ethics']",2024,IEEE Internet Of Things Journal
22,Blockchain-Empowered Multi-Domain Resource Trading in TN-NTN 6G Networks- A Hierarchical Multi-Agent DRL Approach,['Blockchain-based'],"['Coordinator', 'Executor']",['Smart cities'],"['Simulation', 'Benchmarks']","['Task completion', 'Latency', 'Accuracy']","['Scalability', 'Interoperability', 'Trust']",2024,IEEE Internet Of Things Journal
23,Blockchain-Empowered Resource Allocation in HAPS-assisted IoV Digital Twin Networks: A Federated DRL Approach,"['Blockchain-based', 'Digital twins']","['Executor', 'Coordinator']",['Smart cities'],"['Simulation', 'Benchmarks']","['Task completion', 'Latency', 'Accuracy']","['Scalability', 'Trust', 'Interoperability']",2024,IEEE Transactions On Intelligent Vehicles
24,Blockchain-enabled dispersed computing paradigm in Web 3.0 metaverse,['Blockchain-based'],"['Executor', 'Coordinator']",['Social interaction'],"['Simulation', 'Benchmarks']","['Task completion', 'Latency', 'Accuracy']","['Scalability', 'Trust', 'Interoperability']",2025,Computer Networks
25,Chasing in virtual environment: Dynamic alignment for multi-user collaborative redirected walking,"['VR/AR', 'Game-based']","['Avatar', 'Executor']",['Gaming'],"['Simulation', 'User studies', 'Benchmarks']","['Task completion', 'Accuracy', 'Realism']","['Scalability', 'Realism', 'Ethics']",2025,Virtual Reality & Intelligent Hardware
26,"Cognitive digital twin-based Internet of Robotic Things, multi-sensory extended reality and simulation modeling technologies, and generative artificial intelligence and cyber–physical manufacturing systems in the immersive industrial metaverse","['Digital twins', 'VR/AR']","['Executor', 'Coordinator', 'Environment simulator']",['Industry 4.0'],['Qualitative methods'],"['Task completion', 'Accuracy']","['Scalability', 'Interoperability', 'Trust']",2024,Equilibrium. Quarterly Journal Of Economics And Economic Policy
27,CollaborativeBEV: Collaborative bird eye view for reconstructing crowded environment,"['Digital twins', 'VR/AR']","['Executor', 'Coordinator']",['Social interaction'],"['Simulation', 'Benchmarks']","['Task completion', 'Accuracy']","['Scalability', 'Realism', 'Interoperability']",2024,Image And Vision Computing
28,Constructing the Metaverse With a New Perspective: UAV FoV-Assisted Low-Latency Imaging,"['VR/AR', 'Digital twins']",['Executor'],['Social interaction'],"['Simulation', 'Benchmarks']","['Task completion', 'Latency', 'Accuracy']","['Scalability', 'Realism']",2025,IEEE Wireless Communications Letters
29,Control and Decision Theory in Metaverse: A Survey,"['Digital twins', 'VR/AR', 'Blockchain-based', 'Social simulation']","['Coordinator', 'Environment simulator']",['Social interaction'],['Qualitative methods'],"['Task completion', 'Accuracy']","['Scalability', 'Trust', 'Efficiency']",2022,2022 China Automation Congress (CAC)
30,Cooperative End-Edge-Cloud Computing and Resource Allocation for Digital Twin Enabled 6G Industrial IoT,['Digital twins'],"['Executor', 'Coordinator']",['Industry 4.0'],"['Simulation', 'Benchmarks']","['Task completion', 'Latency', 'Accuracy']","['Scalability', 'Interoperability']",2024,IEEE Journal of Selected Topics in Signal Processing
31,Cooperative Multiagent Deep Reinforcement Learning for Computation Offloading in Digital Twin Cyber–Physical–Social System,['Digital twins'],"['Executor', 'Coordinator']",['Social interaction'],"['Simulation', 'Benchmarks']","['Task completion', 'Latency', 'Accuracy']","['Scalability', 'Interoperability']",2025,IEEE Transactions On Computational Social Systems
32,Cooperative Reinforcement Learning for Military Drones over Large-Scale Battlefields,['Social simulation'],"['Executor', 'Coordinator']",['Emergency response'],"['Simulation', 'Benchmarks']","['Task completion', 'Accuracy', 'Realism']","['Scalability', 'Realism', 'Interoperability']",2024,IEEE Transactions on Intelligent Vehicles
33,Csound vs. ChucK: Sound Generation for XR Multi-Agent Audio Systems in the Meta Quest 3 Using the Unity Game Engine,"['VR/AR', 'Game-based']",['Executor'],"['Gaming', 'Social interaction']","['Simulation', 'Benchmarks']","['Latency', 'Accuracy', 'Realism']","['Scalability', 'Realism']",2024,Proceedings of the Sound and Music Computing Conference
34,Deep Reinforcement Learning based Multi-attribute Auction Model for Resource Allocation in Vehicular AIGC Services,['Digital twins'],"['Coordinator', 'Executor']",['Smart cities'],"['Simulation', 'Benchmarks']","['Task completion', 'Latency', 'Accuracy']","['Scalability', 'Interoperability']",2024,2024 International Conference on Generative AI and Information Security (GAIIS 2024)
35,Deep Reinforcement Learning-based Stackelberg Game for Energy Trading in Power Grid Metaverses,['Digital twins'],['Coordinator'],['Smart cities'],"['Simulation', 'Benchmarks']","['Task completion', 'Accuracy']","['Scalability', 'Trust']",2024,IEEE Smart World Congress
36,Developing enhanced conversational agents for social virtual worlds,"['Social simulation', 'Game-based']","['Avatar', 'Assistant']",['Education'],"['Simulation', 'User studies', 'Qualitative methods']","['Task completion', 'User satisfaction', 'Accuracy']","['Scalability', 'Realism']",2019,Neurocomputing
37,Development of crop-simulation multiagent system for smart digital twin of plant,"['Digital twins', 'Social simulation']","['Executor', 'Environment simulator']",['Industry 4.0'],['Simulation'],"['Task completion', 'Accuracy', 'Realism']","['Scalability', 'Realism']",2023,Technical Report - Russian Science Foundation
38,Digital Twin and Artificial Intelligence-Empowered Panoramic Video Streaming: Reducing Transmission Latency in the Extended Reality-Assisted Vehicular Metaverse,"['Digital twins', 'VR/AR']","['Coordinator', 'Executor']",['Smart cities'],"['Simulation', 'Benchmarks']","['Task completion', 'Latency', 'Accuracy']","['Scalability', 'Trust', 'Realism']",2023,IEEE Vehicular Technology Magazine
39,"Digital Twin in the IoT Context: A Survey on Technical Features, Scenarios, and Architectural Models","['Digital twins', 'VR/AR', 'Social simulation']","['Executor', 'Coordinator', 'Environment simulator']","['Healthcare', 'Smart cities', 'Education', 'Industry 4.0']","['Simulation', 'Qualitative methods']","['Latency', 'Accuracy', 'Realism']","['Scalability', 'Trust', 'Interoperability']",2020,IEEE Access
40,Digital Twin-Assisted Space-Air-Ground Integrated Networks for Vehicular Edge Computing,['Digital twins'],"['Coordinator', 'Executor', 'Environment simulator']",['Smart cities'],"['Simulation', 'Benchmarks']","['Task completion', 'Latency', 'Accuracy']","['Scalability', 'Trust', 'Interoperability']",2024,IEEE Journal of Selected Topics in Signal Processing
41,Digital Twins-based Multi-agent Deep Reinforcement Learning for UAV-assisted Vehicle Edge Computing,['Digital twins'],"['Executor', 'Coordinator']",['Smart cities'],['Simulation'],"['Task completion', 'Latency']","['Scalability', 'Realism']",2022,IEEE Access
42,Digital twins-enabled game theoretical models and techniques for metaverse Connected and Autonomous Vehicles: A survey,"['Digital twins', 'VR/AR', 'Blockchain-based']","['Executor', 'Coordinator', 'Environment simulator']",['Smart cities'],['Simulation'],"['Task completion', 'Latency', 'Accuracy']","['Scalability', 'Trust', 'Interoperability', 'Ethics']",2025,Journal of Network and Computer Applications
43,Disaster Assistance Intelligent Agent,['Social simulation'],"['Assistant', 'Coordinator', 'Executor']",['Emergency response'],['Simulation'],"['Task completion', 'Accuracy', 'Realism']","['Scalability', 'Trust', 'Interoperability', 'Ethics']",2023,International Conference On Computing Communication And Networking Technologies
44,Distributed deep reinforcement learning-based coordination performance optimization method for proton exchange membrane fuel cell system,"['Digital twins', 'Social simulation']","['Coordinator', 'Executor']",['Industry 4.0'],['Simulation'],"['Task completion', 'Accuracy']","['Scalability', 'Realism']",2022,Sustainable Energy Technologies And Assessments
45,Distributed Pursuit-Evasion Game of Limited Perception USV Swarm Based on Multiagent Proximal Policy Optimization,"['Social simulation', 'VR/AR']","['Executor', 'Coordinator']",['Smart cities'],['Simulation'],"['Task completion', 'Accuracy', 'Realism']","['Scalability', 'Realism', 'Ethics']",2024,"IEEE Transactions on Systems, Man, and Cybernetics: Systems"
46,Distributed Resource Optimization With Blockchain Security for Immersive Digital Twin in IIoT,"['Digital twins', 'VR/AR', 'Blockchain-based']","['Executor', 'Coordinator']",['Industry 4.0'],['Simulation'],"['Task completion', 'Latency', 'Accuracy']","['Scalability', 'Trust', 'Ethics']",2023,IEEE Transactions On Industrial Informatics
47,Dynamic Resource Scheduling for Air-Ground Collaborative Communication: A Hierarchical Multi-Agent Method for Metaverse,['Social simulation'],"['Executor', 'Coordinator']",['Smart cities'],['Simulation'],"['Task completion', 'Accuracy']","['Scalability', 'Realism']",2023,International Wireless Communications & Mobile Computing Conference
48,Edge Computing for Metaverse: Incentive Mechanism versus Semantic Communication,"['Digital twins', 'VR/AR']","['Executor', 'Coordinator']",['Smart cities'],['Simulation'],"['Task completion', 'Latency', 'Accuracy']","['Scalability', 'Trust', 'Realism']",2024,IEEE Transactions on Mobile Computing
49,Efficient Twin Migration in Vehicular Metaverses: Multi-Agent Split Deep Reinforcement Learning with Spatio-Temporal Trajectory Generation,"['Digital twins', 'Social simulation']","['Executor', 'Coordinator']",['Smart cities'],['Simulation'],"['Task completion', 'Latency', 'Realism']","['Scalability', 'Realism']",2023,IEEE Conference
50,Empowering Virtual Humans' Emotional Expression in the Metaverse,"['VR/AR', 'Social simulation']","['Avatar', 'Environment simulator']","['Gaming', 'Social interaction']","['User studies', 'Qualitative methods']","['Realism', 'User satisfaction']","['Realism', 'Ethics']",2023,17th International Conference on Universal Access in Human-Computer Interaction (UAHCI 2023)
51,Enabling the Wireless Metaverse via Semantic Multiverse Communication,"['VR/AR', 'Social simulation']","['Executor', 'Coordinator']","['Smart cities', 'Gaming']",['Simulation'],"['Latency', 'Accuracy', 'Realism']","['Scalability', 'Realism', 'Interoperability']",2023,"IEEE International Conference on Sensing, Communication, and Networking"
52,Energy-Efficient Ground-Air-Space Vehicular Crowdsensing by Hierarchical Multi-Agent Deep Reinforcement Learning With Diffusion Models,['Social simulation'],"['Executor', 'Coordinator']","['Emergency response', 'Smart cities']",['Simulation'],"['Task completion', 'Accuracy', 'Realism']","['Scalability', 'Realism']",2024,IEEE Journal on Selected Areas in Communications
53,Enhancing Computational Processing Performance for Generative AI Large Models with Autonomous Decision-Making in Metaverse Applications,"['Digital twins', 'VR/AR', 'Social simulation']","['Executor', 'Coordinator', 'Environment simulator']","['Smart cities', 'Education', 'Gaming']","['Simulation', 'Benchmarks']","['Task completion', 'Latency', 'Accuracy', 'Realism']","['Scalability', 'Interoperability', 'Ethics']",2024,IEEE International Conference on Metaverse Computing
54,Environmental Cognition-Driven Hierarchical Decision-Making for Air-Ground Collaborative Communication,['Social simulation'],"['Executor', 'Coordinator']",['Smart cities'],['Simulation'],"['Task completion', 'Latency', 'Accuracy']","['Scalability', 'Realism']",2024,IEEE International Conference on Communications in China
55,Exploring the Confluence of IoT and Metaverse: Future Opportunities and Challenges,"['Digital twins', 'VR/AR', 'Blockchain-based']","['Executor', 'Avatar', 'Environment simulator']","['Smart cities', 'Healthcare', 'Education', 'Gaming']",['Qualitative methods'],"['Realism', 'Latency']","['Interoperability', 'Trust', 'Ethics', 'Ethics']",2023,IEEE Internet Of Things Journal
56,"Exploring the convergence of Metaverse, Blockchain, Artificial Intelligence, and digital twin for pioneering the digitization in the envision smart grid 3.0","['Digital twins', 'VR/AR', 'Blockchain-based']","['Executor', 'Coordinator', 'Environment simulator']","['Smart cities', 'Industry 4.0']",['Simulation'],"['Task completion', 'Accuracy', 'Realism']","['Scalability', 'Interoperability', 'Trust']",2024,Computers and Electrical Engineering
57,Federated Learning for improved prediction of failures in Autonomous Guided Vehicles,['Social simulation'],"['Executor', 'Coordinator']",['Industry 4.0'],['Simulation'],"['Task completion', 'Accuracy']","['Scalability', 'Trust']",2023,Journal Of Computational Science
58,Foundations for Grassroots Democratic Metaverse,"['Blockchain-based', 'Social simulation']","['Executor', 'Coordinator']",['Smart cities'],"['Qualitative methods', 'Simulation']","['Realism', 'User satisfaction']","['Scalability', 'Trust', 'Interoperability']",2022,AAMAS
59,GenAI-Enhanced Federated Multiagent DRL for Digital-Twin-Assisted IoV Networks,"['Digital twins', 'Social simulation']","['Executor', 'Coordinator']",['Smart cities'],"['Simulation', 'Benchmarks']","['Task completion', 'Latency', 'Accuracy']","['Scalability', 'Trust', 'Interoperability']",2025,IEEE Internet of Things Journal
60,Hierarchical Deep Reinforcement Learning With Experience Sharing for Metaverse in Education,"['Game-based', 'Social simulation']","['Executor', 'Coordinator']","['Education', 'Gaming']","['Simulation', 'User studies']","['Task completion', 'Accuracy']",['Scalability'],2023,"IEEE Transactions On Systems, Man, And Cybernetics: Systems"
61,Human-Aware Dynamic Hierarchical Network Control for Distributed Metaverse Services,['Digital twins'],"['Executor', 'Coordinator']","['Smart cities', 'Gaming']",['Simulation'],"['Task completion', 'Latency']","['Scalability', 'Realism', 'Interoperability']",2024,IEEE Journal On Selected Areas In Communications
62,Human-Centric Resource Allocation for the Metaverse With Multiaccess Edge Computing,"['VR/AR', 'Game-based']","['Executor', 'Coordinator']","['Smart cities', 'Gaming']",['Simulation'],"['Task completion', 'Latency', 'User satisfaction']","['Scalability', 'Realism', 'Interoperability']",2023,IEEE Internet Of Things Journal
63,Hybrid Strategy-Based AoI-Awared Collaborative Edge Computing Algorithm in Federated Mode,['Digital twins'],"['Executor', 'Coordinator']","['Smart cities', 'Industry 4.0']",['Simulation'],"['Task completion', 'Latency']","['Scalability', 'Interoperability']",2023,IEEE Global Communications Conference
64,Improving End-To-End Latency Fairness Using a Reinforcement-Learning-Based Network Scheduler,"['VR/AR', 'Game-based']","['Executor', 'Coordinator']","['Smart cities', 'Gaming']",['Simulation'],['Latency'],"['Scalability', 'Interoperability']",2023,Applied Sciences
65,Integration of Decentralized Graph-Based Multi-Agent Reinforcement Learning with Digital Twin for Traffic Signal Optimization,['Digital twins'],"['Executor', 'Coordinator']",['Smart cities'],['Simulation'],"['Task completion', 'Latency', 'Accuracy']","['Scalability', 'Realism']",2024,Symmetry
66,"Integration of Sensing, Communication, and Computing for Metaverse: A Survey","['Digital twins', 'VR/AR']","['Executor', 'Coordinator']","['Healthcare', 'Smart cities', 'Gaming', 'Industry 4.0']","['Simulation', 'Benchmarks']","['Task completion', 'Latency', 'Accuracy', 'Realism']","['Scalability', 'Realism', 'Interoperability', 'Ethics']",2024,ACM Computing Surveys
67,Intelligent and efficient Metaverse rendering and caching in UAV-aided vehicular edge computing,"['Digital twins', 'VR/AR']","['Executor', 'Coordinator']","['Smart cities', 'Gaming']",['Simulation'],"['Task completion', 'Latency', 'Realism']","['Scalability', 'Realism']",2025,Vehicular Communications
68,Intelligent Cockpit for Intelligent Vehicle in Metaverse: A Case Study of Empathetic Auditory Regulation of Human Emotion,"['Digital twins', 'VR/AR']","['Executor', 'Assistant']",['Smart cities'],"['User studies', 'Qualitative methods']","['Task completion', 'User satisfaction', 'Accuracy']","['Realism', 'Ethics']",2023,"IEEE Transactions on Systems, Man, and Cybernetics: Systems"
